Name,#Images,#Recognised images,Percent of recognising
Nicolas_Sarkozy,1,1,100.0
Andres_Manuel_Lopez_Obrador,1,1,100.0
Michael_Lopez-Alegria,1,1,100.0
Ward_Cuff,1,1,100.0
Brian_Gregory,1,1,100.0
Wendy_Kennedy,1,1,100.0
Michael_Milton,1,1,100.0
William_Morrow,1,1,100.0
Dionigi_Tettamanzi,1,1,100.0
Ali_Fallahian,1,1,100.0
Mohamed_Seineldin,1,1,100.0
Thomas_Rupprath,3,3,100.0
Sinead_OConnor,1,1,100.0
Scott_Dickson,1,1,100.0
William_Ragland,1,1,100.0
Eva_Amurri,1,1,100.0
William_Harrison,1,1,100.0
George_Lopez,5,5,100.0
Thomas_Day,1,1,100.0
Amer_al-Saadi,4,4,100.0
Kifah_Ajouri,2,2,100.0
Bill_Graham,9,9,100.0
Oracene_Williams,1,1,100.0
Kenneth_Carlsen,1,1,100.0
Cemil_Cicek,1,1,100.0
Shigeo_Nagashima,1,1,100.0
Caroline_Kennedy,3,3,100.0
Teruaki_Masumoto,1,1,100.0
Camryn_Manheim,1,1,100.0
Inam-ul-Haq,2,2,100.0
Erika_Reyes,1,1,100.0
Carrie-Anne_Moss,5,5,100.0
Ana_Guevara,7,7,100.0
Bode_Miller,2,2,100.0
George_Bovell,1,1,100.0
Mohammed_Mehdi_Saleh,1,1,100.0
Will_Ofenheusle,1,1,100.0
Mark_Gangloff,1,1,100.0
Roy_Romanow,1,1,100.0
Emmanuelle_Jagodsinski,1,1,100.0
Neil_Moritz,1,1,100.0
Tony_Clement,1,1,100.0
Natasha_McElhone,3,3,100.0
Matt_Walters,1,1,100.0
Didier_Defago,1,1,100.0
Isidro_Pastor,1,1,100.0
Dexter_Jackson,2,2,100.0
Mike_Montgomery,2,2,100.0
Nora_Bendijo,2,2,100.0
Nancy_Sinatra,2,2,100.0
Alice_Fisher,2,2,100.0
Hartmut_Mehdorn,1,1,100.0
Bill_Kong,1,1,100.0
Dennis_Miller,1,1,100.0
Candice_Beatty,1,1,100.0
Tom_Poston,1,1,100.0
Tom_Sizemore,1,1,100.0
Tony_Shalhoub,4,4,100.0
Peter_Fonda,1,1,100.0
Carina_Lau_Ka-ling,1,1,100.0
Michael_Keaton,2,1,50.0
Geraldo_Rivera,1,1,100.0
Della_Clara,1,1,100.0
Sergio_Vieira_De_Mello,11,11,100.0
Carl_Levin,1,1,100.0
Harold_Brown,1,1,100.0
Brad_Banks,1,1,100.0
Nong_Duc_Manh,1,1,100.0
Mohammed_Ashraf_Hafiz,1,1,100.0
Patrick_Stewart,2,2,100.0
Michael_Kostelnik,2,2,100.0
Sean_Townsend,1,1,100.0
Chris_Simon,1,1,100.0
Jennifer_Love_Hewitt,1,1,100.0
Mark_Kelly,1,1,100.0
Mark_Everson,1,1,100.0
Marion_Barry,1,1,100.0
Krishna_Bhadur_Mahara,1,1,100.0
David_Carradine,1,1,100.0
Mary_Tyler_Moore,2,2,100.0
Vidar_Helgesen,2,2,100.0
Alejandro_Toledo,39,38,97.43589743589743
Cabas,1,1,100.0
Carlos_Menem,21,20,95.23809523809524
Vicente_Fernandez,5,5,100.0
Micky_Ward,1,1,100.0
Dominick_Dunne,1,1,100.0
Valorie_Brabazon,1,1,100.0
Na_Na_Keum,1,1,100.0
Jennifer_McCoy,1,1,100.0
Max_Mosley,1,1,100.0
Juan_Sanchez,1,1,100.0
Peter_Gilmour,1,1,100.0
Brett_Boone,1,1,100.0
Erin_Hershey_Presley,1,1,100.0
Yoriko_Kawaguchi,14,14,100.0
Wolfgang_Becker,1,1,100.0
Judy_Spreckels,1,1,100.0
Sharon_Stone,5,5,100.0
Kwame_Kilpatrick,1,1,100.0
Mary_Jo_Myers,1,1,100.0
Harriet_Lessy,1,1,100.0
Ali_Mohammed_Maher,1,1,100.0
Dieter_Zetsche,1,1,100.0
Mohammad_Al-Sharief,1,1,100.0
Ornella_Muti,1,1,100.0
Bob_Wright,1,1,100.0
Timothy_Goebel,1,1,100.0
Carlos_Juarez,1,1,100.0
Hayden_Panettiere,1,1,100.0
Mario_Jardel,1,1,100.0
Kimberly_Stewart,1,1,100.0
Norman_Jewison,2,2,100.0
Eric_Rosser,2,2,100.0
Vladimiro_Montesinos,3,3,100.0
Nadia_Forte,1,1,100.0
Kirk_Johnson,3,3,100.0
Alex_King,1,1,100.0
Harland_Braun,1,1,100.0
Jacqueline_Marris,1,1,100.0
Tonga,1,1,100.0
Wesley_Clark,2,2,100.0
Desiree_McKenzie,1,1,100.0
Yukio_Hatoyama,1,1,100.0
Mary_Blige,1,1,100.0
Joanna_Poitier,1,1,100.0
Shi_Guangsheng,1,1,100.0
Enrique_Oliu,1,1,100.0
Jennifer_Pena,1,1,100.0
Marilyn_Monroe,2,1,50.0
Joseph_Hoy,1,1,100.0
Isabella_Rossellini,3,3,100.0
Enola_Rice,1,1,100.0
Julio_Iglesias_Jr,2,2,100.0
Yekaterina_Guseva,1,1,100.0
Thaksin_Shinawatra,6,6,100.0
Erika_Harold,5,5,100.0
Derek_Bond,1,1,100.0
Blas_Ople,1,1,100.0
Carlos_Ruckauf,1,1,100.0
