Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Enrique_Oliu,1,1,100.0,0,0.0,3,6688,0.0
Mike_Sherman,1,1,100.0,0,0.0,32,6688,0.5
Djabir_Said-Guerni,1,1,100.0,0,0.0,0,6688,0.0
Buddy_Ryan,1,1,100.0,0,0.0,59,6688,0.9
Emile_Lahoud,2,2,100.0,0,0.0,8,6688,0.1
Andrew_Wetzler,1,1,100.0,0,0.0,11,6688,0.2
Marina_Canetti,1,1,100.0,0,0.0,3,6688,0.0
Vicente_Fox,31,30,96.8,1,3.2,15,6688,0.2
Moon-So-ri,1,1,100.0,0,0.0,7,6688,0.1
Patricia_Phillips,1,1,100.0,0,0.0,1,6688,0.0
Alicia_Silverstone,2,2,100.0,0,0.0,1,6688,0.0
Michael_Peat,1,1,100.0,0,0.0,0,6688,0.0
Michael_Killeen,1,1,100.0,0,0.0,5,6688,0.1
Wesley_Clark,2,1,50.0,1,50.0,1,6688,0.0
Halle_Berry,16,1,6.2,15,93.8,0,6688,0.0
William_Joppy,1,1,100.0,0,0.0,0,6688,0.0
Kostya_Tszyu,1,1,100.0,0,0.0,1,6688,0.0
Ana_Claudia_Talancon,1,1,100.0,0,0.0,6,6688,0.1
Gene_Orza,1,1,100.0,0,0.0,3,6688,0.0
Nastia_Liukin,1,1,100.0,0,0.0,0,6688,0.0
Mohammad_Khatami,9,7,77.8,2,22.2,0,6688,0.0
Andrew_Weissmann,3,3,100.0,0,0.0,4,6688,0.1
Alek_Wek,1,1,100.0,0,0.0,8,6688,0.1
Isidro_Pastor,1,1,100.0,0,0.0,3,6688,0.0
Mikhail_Khodorkovsky,1,1,100.0,0,0.0,0,6688,0.0
Charlotte_Church,1,1,100.0,0,0.0,1,6688,0.0
William_Macy,5,4,80.0,1,20.0,5,6688,0.1
Brian_Schneider,1,1,100.0,0,0.0,4,6688,0.1
Phil_McGraw,1,1,100.0,0,0.0,22,6688,0.3
Enos_Slaughter,1,1,100.0,0,0.0,1,6688,0.0
Ernie_Eves,2,1,50.0,1,50.0,13,6688,0.2
Andres_DAlessandro,1,1,100.0,0,0.0,0,6688,0.0
Mike_Szymanczyk,1,1,100.0,0,0.0,5,6688,0.1
Lim_Dong-won,2,2,100.0,0,0.0,17,6688,0.3
Michael_Powell,5,4,80.0,1,20.0,4,6688,0.1
Pauley_Perrette,1,1,100.0,0,0.0,0,6688,0.0
Julie_Andrews,1,1,100.0,0,0.0,4,6688,0.1
Ismail_Khan,1,1,100.0,0,0.0,5,6688,0.1
Tom_McClintock,1,1,100.0,0,0.0,7,6688,0.1
Jim_Zorn,1,1,100.0,0,0.0,20,6688,0.3
Eric_Idle,1,1,100.0,0,0.0,2,6688,0.0
Marissa_Jaret_Winokur,2,2,100.0,0,0.0,1,6688,0.0
Julie_Infante,1,1,100.0,0,0.0,4,6688,0.1
Matt_Roney,1,1,100.0,0,0.0,3,6688,0.0
Floyd_Mayweather,1,1,100.0,0,0.0,1,6688,0.0
Kim_Gandy,1,1,100.0,0,0.0,0,6688,0.0
Dariusz_Michalczewski,1,1,100.0,0,0.0,1,6688,0.0
Nathalie_Dechy,1,1,100.0,0,0.0,1,6688,0.0
Aleksander_Voloshin,1,1,100.0,0,0.0,1,6688,0.0
Micah_Knorr,1,1,100.0,0,0.0,0,6688,0.0
Vladimiro_Montesinos,3,1,33.3,2,66.7,5,6688,0.1
Patti_Lank,1,1,100.0,0,0.0,7,6688,0.1
Al_Sharpton,7,7,100.0,0,0.0,3,6688,0.0
Meghann_Shaughnessy,2,1,50.0,1,50.0,3,6688,0.0
Deb_Santos,1,1,100.0,0,0.0,2,6688,0.0
Ken_Wharfe,1,1,100.0,0,0.0,4,6688,0.1
Nadine_Vinzens,2,1,50.0,1,50.0,0,6688,0.0
Tina_Pisnik,1,1,100.0,0,0.0,7,6688,0.1
Kimberly_Stewart,1,1,100.0,0,0.0,4,6688,0.1
Peter_Gilmour,1,1,100.0,0,0.0,0,6688,0.0
Dionne_Warwick,1,1,100.0,0,0.0,4,6688,0.1
Gerardo_Gambala,2,1,50.0,1,50.0,1,6688,0.0
Fernando_Velardez,1,1,100.0,0,0.0,0,6688,0.0
Carin_Koch,1,1,100.0,0,0.0,1,6688,0.0
Jose_Vicente_Rangel,1,1,100.0,0,0.0,4,6688,0.1
Jose_Mourinho,2,1,50.0,1,50.0,1,6688,0.0
Michel_Kratochvil,1,1,100.0,0,0.0,1,6688,0.0
Kweisi_Mfume,1,1,100.0,0,0.0,3,6688,0.0
Mike_Babcock,2,2,100.0,0,0.0,5,6688,0.1
Jorge_Rodolfo_Canicoba_Corral,2,2,100.0,0,0.0,10,6688,0.1
Nizar_Trabelsi,1,1,100.0,0,0.0,0,6688,0.0
Mary_Steenburgen,3,3,100.0,0,0.0,0,6688,0.0
Wang_Nan,1,1,100.0,0,0.0,21,6688,0.3
Sonia_Lopez,1,1,100.0,0,0.0,0,6688,0.0
Haydar_Aliyev,1,1,100.0,0,0.0,1,6688,0.0
Mark_Gangloff,1,1,100.0,0,0.0,4,6688,0.1
Gene_Sauers,1,1,100.0,0,0.0,7,6688,0.1
Kirsten_Gilham,1,1,100.0,0,0.0,1,6688,0.0
Jimmy_Gobble,1,1,100.0,0,0.0,1,6688,0.0
Muwafak_al-Ani,1,1,100.0,0,0.0,6,6688,0.1
Emma_Watson,5,5,100.0,0,0.0,0,6688,0.0
Eric_Daze,1,1,100.0,0,0.0,1,6688,0.0
Calista_Flockhart,6,5,83.3,1,16.7,0,6688,0.0
Scott_Wallach,1,1,100.0,0,0.0,0,6688,0.0
Ernest_Hollings,1,1,100.0,0,0.0,23,6688,0.3
Larry_Greene,1,1,100.0,0,0.0,12,6688,0.2
Carina_Lau_Ka-ling,1,1,100.0,0,0.0,8,6688,0.1
Brandon_Jones,1,1,100.0,0,0.0,12,6688,0.2
Bill_Maher,1,1,100.0,0,0.0,3,6688,0.0
Judi_Dench,2,2,100.0,0,0.0,3,6688,0.0
Irene_Kahn,1,1,100.0,0,0.0,0,6688,0.0
Larry_Flynt,1,1,100.0,0,0.0,2,6688,0.0
Hans_Blix,39,38,97.4,1,2.6,41,6688,0.6
Harrison_Ford,12,9,75.0,3,25.0,28,6688,0.4
Sonya_Walger,1,1,100.0,0,0.0,6,6688,0.1
Charlie_Hunnam,1,1,100.0,0,0.0,4,6688,0.1
Michael_Shane_Jolly,1,1,100.0,0,0.0,0,6688,0.0
Boris_Berezovsky,2,2,100.0,0,0.0,2,6688,0.0
Turner_Gill,1,1,100.0,0,0.0,4,6688,0.1
Serena_Williams,52,43,82.7,9,17.3,6,6688,0.1
Klaus_Schwab,1,1,100.0,0,0.0,4,6688,0.1
Irv_Nathan,1,1,100.0,0,0.0,4,6688,0.1
Kurt_Tanabe,1,1,100.0,0,0.0,4,6688,0.1
Thomas_Bjorn,2,1,50.0,1,50.0,122,6688,1.8
Brenda_Magana,1,1,100.0,0,0.0,0,6688,0.0
George_Tenet,2,2,100.0,0,0.0,1,6688,0.0
Nancy_Kerrigan,1,1,100.0,0,0.0,1,6688,0.0
Ernie_Preate,1,1,100.0,0,0.0,8,6688,0.1
Francis_Ricciardone,1,1,100.0,0,0.0,4,6688,0.1
Lesia_Burlak,1,1,100.0,0,0.0,1,6688,0.0
Geoffrey_Davis,1,1,100.0,0,0.0,18,6688,0.3
Carol_Moseley_Braun,2,2,100.0,0,0.0,1,6688,0.0
Nancy_Pelosi,15,14,93.3,1,6.7,2,6688,0.0
Mary_Anne_Souza,1,1,100.0,0,0.0,2,6688,0.0
Matt_Braker,1,1,100.0,0,0.0,2,6688,0.0
Tiffany_Limos,1,1,100.0,0,0.0,3,6688,0.0
Carla_Gugino,1,1,100.0,0,0.0,0,6688,0.0
Martha_Martinez_Flores,1,1,100.0,0,0.0,2,6688,0.0
Tim_Allen,4,2,50.0,2,50.0,6,6688,0.1
Mike_Leach,1,1,100.0,0,0.0,48,6688,0.7
Miguel_Rosseto,1,1,100.0,0,0.0,2,6688,0.0
Jose_Canseco,3,1,33.3,2,66.7,1,6688,0.0
Mark_Gottfried,3,1,33.3,2,66.7,0,6688,0.0
Hasan_Wirayuda,1,1,100.0,0,0.0,2,6688,0.0
Brian_Clemens,1,1,100.0,0,0.0,0,6688,0.0
William_Perry,1,1,100.0,0,0.0,30,6688,0.4
George_Maxwell_Richards,1,1,100.0,0,0.0,8,6688,0.1
Alfonso_Cuaron,1,1,100.0,0,0.0,0,6688,0.0
Tony_Fernandes,1,1,100.0,0,0.0,1,6688,0.0
Dyana_Calub,1,1,100.0,0,0.0,2,6688,0.0
Tyler_Grillo,1,1,100.0,0,0.0,0,6688,0.0
Julio_Iglesias_Jr,2,2,100.0,0,0.0,0,6688,0.0
Noer_Muis,1,1,100.0,0,0.0,15,6688,0.2
Wallace_Capel,1,1,100.0,0,0.0,4,6688,0.1
Nida_Blanca,1,1,100.0,0,0.0,3,6688,0.0
Kieran_Culkin,1,1,100.0,0,0.0,0,6688,0.0
Hank_Stram,1,1,100.0,0,0.0,24,6688,0.4
Jennifer_Lopez,21,13,61.9,8,38.1,0,6688,0.0
Natalia_Vodonova,1,1,100.0,0,0.0,0,6688,0.0
Diego_Diego_Lerman,1,1,100.0,0,0.0,0,6688,0.0
Bronson_Arroyo,1,1,100.0,0,0.0,5,6688,0.1
Bill_McBride,10,4,40.0,6,60.0,22,6688,0.3
Matt_Dillon,3,2,66.7,1,33.3,0,6688,0.0
Kirk_Johnson,3,3,100.0,0,0.0,18,6688,0.3
Kenenisa_Bekele,1,1,100.0,0,0.0,2,6688,0.0
Scott_Verplank,1,1,100.0,0,0.0,4,6688,0.1
Bill_Self,1,1,100.0,0,0.0,2,6688,0.0
Tina_Sinatra,1,1,100.0,0,0.0,0,6688,0.0
Martin_Short,1,1,100.0,0,0.0,1,6688,0.0
Bruce_Willis,1,1,100.0,0,0.0,7,6688,0.1
Marwan_Muasher,1,1,100.0,0,0.0,3,6688,0.0
Shireen_Amir_Begum,1,1,100.0,0,0.0,0,6688,0.0
Ontario_Lett,1,1,100.0,0,0.0,3,6688,0.0
Hamad_Bin_Jassim,1,1,100.0,0,0.0,1,6688,0.0
Albert_Brooks,1,1,100.0,0,0.0,1,6688,0.0
Michael_Michele,1,1,100.0,0,0.0,0,6688,0.0
Jonathan_Byrd,1,1,100.0,0,0.0,10,6688,0.1
Kevin_Keegan,1,1,100.0,0,0.0,3,6688,0.0
Octavio_Lara,1,1,100.0,0,0.0,0,6688,0.0
Dean_Jacek,1,1,100.0,0,0.0,20,6688,0.3
Mike_Eskew,1,1,100.0,0,0.0,1,6688,0.0
Andres_Manuel_Lopez_Obrador,1,1,100.0,0,0.0,6,6688,0.1
Billy_Tibbets,1,1,100.0,0,0.0,4,6688,0.1
Peter_Max,1,1,100.0,0,0.0,1,6688,0.0
Kristin_Chenoweth,1,1,100.0,0,0.0,1,6688,0.0
Matt_Doherty,3,2,66.7,1,33.3,1,6688,0.0
Larry_Ellison,3,3,100.0,0,0.0,0,6688,0.0
Mohammed_Al_Hindi,1,1,100.0,0,0.0,15,6688,0.2
Silvio_Berlusconi,33,27,81.8,6,18.2,2,6688,0.0
Martha_Burk,4,4,100.0,0,0.0,6,6688,0.1
Gary_Marshall,1,1,100.0,0,0.0,4,6688,0.1
Boris_Henry,1,1,100.0,0,0.0,0,6688,0.0
Laura_Ziskin,1,1,100.0,0,0.0,3,6688,0.0
Eric_Staal,1,1,100.0,0,0.0,1,6688,0.0
Tom_Amstutz,1,1,100.0,0,0.0,9,6688,0.1
Simona_Hradil,1,1,100.0,0,0.0,0,6688,0.0
Walter_Annenberg,1,1,100.0,0,0.0,2,6688,0.0
Angelica_Romero,1,1,100.0,0,0.0,4,6688,0.1
Natalie_Juniardi,1,1,100.0,0,0.0,2,6688,0.0
Misty_Dawn_Clymer,1,1,100.0,0,0.0,0,6688,0.0
Brajesh_Mishra,1,1,100.0,0,0.0,0,6688,0.0
Kent_McCord,1,1,100.0,0,0.0,9,6688,0.1
Debbie_Reynolds,4,4,100.0,0,0.0,1,6688,0.0
Daryl_Jones,1,1,100.0,0,0.0,1,6688,0.0
Hector_Mitelman,1,1,100.0,0,0.0,9,6688,0.1
Joshua_Harapko,1,1,100.0,0,0.0,0,6688,0.0
Bill_Callahan,3,2,66.7,1,33.3,1,6688,0.0
Alejandro_Toledo,39,1,2.6,38,97.4,0,6688,0.0
Patrick_Dennehy,1,1,100.0,0,0.0,1,6688,0.0
Naomi_Hayashi,1,1,100.0,0,0.0,0,6688,0.0
Rudolph_Giuliani,24,12,50.0,12,50.0,0,6688,0.0
Willis_Roberts,1,1,100.0,0,0.0,5,6688,0.1
Nikki_Teasley,1,1,100.0,0,0.0,6,6688,0.1
Marlon_Devonish,1,1,100.0,0,0.0,17,6688,0.3
Bill_Kong,1,1,100.0,0,0.0,10,6688,0.1
Jorge_Moreno,1,1,100.0,0,0.0,0,6688,0.0
Leslie_Wiser_Jr,1,1,100.0,0,0.0,9,6688,0.1
Allison_Janney,2,1,50.0,1,50.0,0,6688,0.0
Alisha_Richman,1,1,100.0,0,0.0,1,6688,0.0
Anastasia_Kelesidou,1,1,100.0,0,0.0,0,6688,0.0
Hank_McKinnell,1,1,100.0,0,0.0,5,6688,0.1
Michael_Winterbottom,3,3,100.0,0,0.0,4,6688,0.1
Geoff_Dixon,1,1,100.0,0,0.0,20,6688,0.3
Earl_Counter,1,1,100.0,0,0.0,2,6688,0.0
Jim_Tressel,4,3,75.0,1,25.0,3,6688,0.0
Olivier_Rochus,1,1,100.0,0,0.0,11,6688,0.2
Andrei_Mikhnevich,2,2,100.0,0,0.0,0,6688,0.0
Brooke_Gordon,1,1,100.0,0,0.0,0,6688,0.0
Tzipora_Obziler,1,1,100.0,0,0.0,3,6688,0.0
Mike_Price,2,2,100.0,0,0.0,4,6688,0.1
Dirk_Kempthorne,1,1,100.0,0,0.0,3,6688,0.0
Mary_Zorn,1,1,100.0,0,0.0,0,6688,0.0
Mariangel_Ruiz_Torrealba,3,3,100.0,0,0.0,5,6688,0.1
Tom_Ridge,33,32,97.0,1,3.0,7,6688,0.1
Larry_Nichols,1,1,100.0,0,0.0,6,6688,0.1
Bob_Graham,6,5,83.3,1,16.7,9,6688,0.1
Mike_Martz,7,6,85.7,1,14.3,3,6688,0.0
Troy_Hudson,1,1,100.0,0,0.0,1,6688,0.0
George_Lopez,5,4,80.0,1,20.0,0,6688,0.0
Mark_Heller,1,1,100.0,0,0.0,1,6688,0.0
Jose_Genoino,1,1,100.0,0,0.0,1,6688,0.0
Georgina_Bardach,1,1,100.0,0,0.0,0,6688,0.0
William_Swor,1,1,100.0,0,0.0,8,6688,0.1
Paulo_Cesar_Pinheiro,2,2,100.0,0,0.0,1,6688,0.0
Myung_Yang,1,1,100.0,0,0.0,8,6688,0.1
Nicoletta_Braschi,1,1,100.0,0,0.0,4,6688,0.1
Anette_Hosoi,1,1,100.0,0,0.0,0,6688,0.0
Norbert_van_Heyst,1,1,100.0,0,0.0,22,6688,0.3
Nestor_Santillan,1,1,100.0,0,0.0,2,6688,0.0
Naomi_Watts,22,15,68.2,7,31.8,4,6688,0.1
Andrea_Bocelli,1,1,100.0,0,0.0,5,6688,0.1
Bill_Pryor,1,1,100.0,0,0.0,0,6688,0.0
Hayley_Tullett,2,2,100.0,0,0.0,8,6688,0.1
Warren_Beatty,2,2,100.0,0,0.0,12,6688,0.2
Juljia_Vysotskij,1,1,100.0,0,0.0,3,6688,0.0
Desiree_McKenzie,1,1,100.0,0,0.0,1,6688,0.0
Candace_Sutton,1,1,100.0,0,0.0,1,6688,0.0
Debra_Rose,1,1,100.0,0,0.0,0,6688,0.0
Shawn_Kemp,1,1,100.0,0,0.0,16,6688,0.2
Nicolas_Kiefer,1,1,100.0,0,0.0,0,6688,0.0
Emmanuelle_Jagodsinski,1,1,100.0,0,0.0,3,6688,0.0
Kiki_Vandeweghe,2,2,100.0,0,0.0,4,6688,0.1
Mike_Scioscia,2,2,100.0,0,0.0,3,6688,0.0
Kofi_Annan,32,30,93.8,2,6.2,24,6688,0.4
Brad_Pitt,1,1,100.0,0,0.0,1,6688,0.0
Andy_Lau,1,1,100.0,0,0.0,0,6688,0.0
Miguel_Estrada,2,1,50.0,1,50.0,1,6688,0.0
Marta_Dominguz,1,1,100.0,0,0.0,0,6688,0.0
Tessa_Jowell,1,1,100.0,0,0.0,2,6688,0.0
Hassan_Wirajuda,2,2,100.0,0,0.0,3,6688,0.0
Wayne_Allard,1,1,100.0,0,0.0,7,6688,0.1
Kent_Robinson,1,1,100.0,0,0.0,1,6688,0.0
Judy_Spreckels,1,1,100.0,0,0.0,2,6688,0.0
Michael_Goldrich,1,1,100.0,0,0.0,2,6688,0.0
Naoto_Kan,4,4,100.0,0,0.0,15,6688,0.2
Lee_Hong-ki,1,1,100.0,0,0.0,43,6688,0.6
Alma_Powell,1,1,100.0,0,0.0,5,6688,0.1
Mario_Jardel,1,1,100.0,0,0.0,4,6688,0.1
Terunobu_Maeda,1,1,100.0,0,0.0,5,6688,0.1
Alexandra_Vodjanikova,2,2,100.0,0,0.0,0,6688,0.0
Michael_Taylor,1,1,100.0,0,0.0,1,6688,0.0
Bobby_Goldwater,2,2,100.0,0,0.0,2,6688,0.0
Jimmy_Kimmel,2,2,100.0,0,0.0,1,6688,0.0
Anderson_Varejao,1,1,100.0,0,0.0,0,6688,0.0
Bill_Rainer,1,1,100.0,0,0.0,35,6688,0.5
Thomas_Van_Essen,1,1,100.0,0,0.0,6,6688,0.1
Ira_Einhorn,1,1,100.0,0,0.0,5,6688,0.1
Michael_Donovan,1,1,100.0,0,0.0,2,6688,0.0
Angie_Arzola,1,1,100.0,0,0.0,1,6688,0.0
Michelle_Bachelet,1,1,100.0,0,0.0,5,6688,0.1
Viara_Vike-Freiberga,1,1,100.0,0,0.0,8,6688,0.1
Carlos_De_Abreu,1,1,100.0,0,0.0,1,6688,0.0
Tim_Matheson,1,1,100.0,0,0.0,2,6688,0.0
Bonnie_Hunt,1,1,100.0,0,0.0,1,6688,0.0
Carol_Niedermayer,1,1,100.0,0,0.0,0,6688,0.0
Andrew_Firestone,1,1,100.0,0,0.0,1,6688,0.0
Ismail_Merchant,2,2,100.0,0,0.0,163,6688,2.4
Julian_Battle,1,1,100.0,0,0.0,6,6688,0.1
Jose_Manuel_Durao_Barroso,6,6,100.0,0,0.0,3,6688,0.0
